
index,Q_name,candidate,new_q,base_reward,new_reward,label
0,coronavirus origin,asian,coronavirus origin asian,0.021604938271604937,0.0030864197530864196,0
0,coronavirus origin,natural,coronavirus origin natural,0.021604938271604937,0.09259259259259259,1
0,coronavirus origin,disease,coronavirus origin disease,0.021604938271604937,0.2654320987654321,1
0,coronavirus origin,unknown,coronavirus origin unknown,0.021604938271604937,0.07716049382716049,1
0,coronavirus origin,common,coronavirus origin common,0.021604938271604937,0.06790123456790123,1
0,coronavirus origin,chinese,coronavirus origin chinese,0.021604938271604937,0.09567901234567901,1
0,coronavirus origin,human,coronavirus origin human,0.021604938271604937,0.1388888888888889,1
0,coronavirus origin,viral,coronavirus origin viral,0.021604938271604937,0.35802469135802467,1
0,coronavirus origin,indian,coronavirus origin indian,0.021604938271604937,0.015432098765432098,0
0,coronavirus origin,clinical,coronavirus origin clinical,0.021604938271604937,0.10802469135802469,1
0,coronavirus origin,infectious,coronavirus origin infectious,0.021604938271604937,0.13580246913580246,1
0,coronavirus origin,global,coronavirus origin global,0.021604938271604937,0.10185185185185185,1
0,coronavirus origin,african,coronavirus origin african,0.021604938271604937,0.0030864197530864196,0
0,coronavirus origin,virus,coronavirus origin virus,0.021604938271604937,0.12345679012345678,1
0,coronavirus origin,severe,coronavirus origin severe,0.021604938271604937,0.2345679012345679,1
0,coronavirus origin,european,coronavirus origin european,0.021604938271604937,0.015432098765432098,0
0,coronavirus origin,infection,coronavirus origin infection,0.021604938271604937,0.11419753086419752,1
0,coronavirus origin,genetic,coronavirus origin genetic,0.021604938271604937,0.15123456790123457,1
0,coronavirus origin,specific,coronavirus origin specific,0.021604938271604937,0.024691358024691357,1
0,coronavirus origin,new,coronavirus origin new,0.021604938271604937,0.14814814814814814,1
0,coronavirus origin,intermediate,coronavirus origin intermediate,0.021604938271604937,0.06172839506172839,1
0,coronavirus origin,novel,coronavirus origin novel,0.021604938271604937,0.22839506172839505,1
0,coronavirus origin,korean,coronavirus origin korean,0.021604938271604937,0.0,0
0,coronavirus origin,epidemic,coronavirus origin epidemic,0.021604938271604937,0.24074074074074073,1
0,coronavirus origin,geographic,coronavirus origin geographic,0.021604938271604937,0.018518518518518517,0
0,coronavirus origin,environmental,coronavirus origin environmental,0.021604938271604937,0.046296296296296294,1
0,coronavirus origin,medical,coronavirus origin medical,0.021604938271604937,0.15123456790123457,1
0,coronavirus origin,emerging,coronavirus origin emerging,0.021604938271604937,0.10802469135802469,1
0,coronavirus origin,probable,coronavirus origin probable,0.021604938271604937,0.04938271604938271,1
0,coronavirus origin,biological,coronavirus origin biological,0.021604938271604937,0.17592592592592593,1
0,coronavirus origin,male,coronavirus origin male,0.021604938271604937,0.009259259259259259,0
0,coronavirus origin,congenital,coronavirus origin congenital,0.021604938271604937,0.0,0
0,coronavirus origin,spanish,coronavirus origin spanish,0.021604938271604937,0.006172839506172839,0
0,coronavirus origin,community,coronavirus origin community,0.021604938271604937,0.037037037037037035,1
0,coronavirus origin,evolutionary,coronavirus origin evolutionary,0.021604938271604937,0.1111111111111111,1
0,coronavirus origin,american,coronavirus origin american,0.021604938271604937,0.0030864197530864196,0
0,coronavirus origin,bacterial,coronavirus origin bacterial,0.021604938271604937,0.0030864197530864196,0
0,coronavirus origin,animal,coronavirus origin animal,0.021604938271604937,0.30246913580246915,1
0,coronavirus origin,indirect,coronavirus origin indirect,0.021604938271604937,0.0,0
0,coronavirus origin,abstract,coronavirus origin abstract,0.021604938271604937,0.0030864197530864196,0
0,coronavirus origin,wildlife,coronavirus origin wildlife,0.021604938271604937,0.06172839506172839,1
0,coronavirus origin,aboriginal,coronavirus origin aboriginal,0.021604938271604937,0.0,0
0,coronavirus origin,international,coronavirus origin international,0.021604938271604937,0.07716049382716049,1
0,coronavirus origin,likely,coronavirus origin likely,0.021604938271604937,0.08024691358024691,1
0,coronavirus origin,mild,coronavirus origin mild,0.021604938271604937,0.018518518518518517,0
0,coronavirus origin,seasonal,coronavirus origin seasonal,0.021604938271604937,0.0,0
0,coronavirus origin,universal,coronavirus origin universal,0.021604938271604937,0.0,0
0,coronavirus origin,potential,coronavirus origin potential,0.021604938271604937,0.1388888888888889,1
0,coronavirus origin,early,coronavirus origin early,0.021604938271604937,0.06172839506172839,1
0,coronavirus origin,female,coronavirus origin female,0.021604938271604937,0.009259259259259259,0
0,coronavirus origin,endemic,coronavirus origin endemic,0.021604938271604937,0.015432098765432098,0
0,coronavirus origin,positive,coronavirus origin positive,0.021604938271604937,0.033950617283950615,1
0,coronavirus origin,fatal,coronavirus origin fatal,0.021604938271604937,0.018518518518518517,0
0,coronavirus origin,direct,coronavirus origin direct,0.021604938271604937,0.033950617283950615,1
0,coronavirus origin,widespread,coronavirus origin widespread,0.021604938271604937,0.009259259259259259,0
0,coronavirus origin,unique,coronavirus origin unique,0.021604938271604937,0.024691358024691357,1
0,coronavirus origin,fungal,coronavirus origin fungal,0.021604938271604937,0.13271604938271606,1
0,coronavirus origin,primary,coronavirus origin primary,0.021604938271604937,0.024691358024691357,1
0,coronavirus origin,geographical,coronavirus origin geographical,0.021604938271604937,0.015432098765432098,0
0,coronavirus origin,diffuse,coronavirus origin diffuse,0.021604938271604937,0.006172839506172839,0
0,coronavirus origin,recent,coronavirus origin recent,0.021604938271604937,0.05864197530864197,1
0,coronavirus origin,world,coronavirus origin world,0.021604938271604937,0.09567901234567901,1
0,coronavirus origin,false,coronavirus origin false,0.021604938271604937,0.0,0
0,coronavirus origin,local,coronavirus origin local,0.021604938271604937,0.006172839506172839,0
0,coronavirus origin,population,coronavirus origin population,0.021604938271604937,0.04938271604938271,1
0,coronavirus origin,white,coronavirus origin white,0.021604938271604937,0.0,0
0,coronavirus origin,influenza,coronavirus origin influenza,0.021604938271604937,0.018518518518518517,0
0,coronavirus origin,adaptive,coronavirus origin adaptive,0.021604938271604937,0.009259259259259259,0
0,coronavirus origin,background,coronavirus origin background,0.021604938271604937,0.043209876543209874,1
0,coronavirus origin,negative,coronavirus origin negative,0.021604938271604937,0.006172839506172839,0
0,coronavirus origin,ancestral,coronavirus origin ancestral,0.021604938271604937,0.021604938271604937,0
0,coronavirus origin,china,coronavirus origin china,0.021604938271604937,0.29012345679012347,1
0,coronavirus origin,reported,coronavirus origin reported,0.021604938271604937,0.08950617283950617,1
0,coronavirus origin,synonymous,coronavirus origin synonymous,0.021604938271604937,0.012345679012345678,0
0,coronavirus origin,presumed,coronavirus origin presumed,0.021604938271604937,0.009259259259259259,0
0,coronavirus origin,pathogen,coronavirus origin pathogen,0.021604938271604937,0.06790123456790123,1
0,coronavirus origin,maternal,coronavirus origin maternal,0.021604938271604937,0.0,0
0,coronavirus origin,canine,coronavirus origin canine,0.021604938271604937,0.009259259259259259,0
0,coronavirus origin,acute,coronavirus origin acute,0.021604938271604937,0.22839506172839505,1
0,coronavirus origin,unidentified,coronavirus origin unidentified,0.021604938271604937,0.0030864197530864196,0
0,coronavirus origin,child,coronavirus origin child,0.021604938271604937,0.0030864197530864196,0
0,coronavirus origin,caucasian,coronavirus origin caucasian,0.021604938271604937,0.0,0
0,coronavirus origin,current,coronavirus origin current,0.021604938271604937,0.08024691358024691,1
0,coronavirus origin,species,coronavirus origin species,0.021604938271604937,0.12037037037037036,1
0,coronavirus origin,worldwide,coronavirus origin worldwide,0.021604938271604937,0.06172839506172839,1
0,coronavirus origin,vertical,coronavirus origin vertical,0.021604938271604937,0.0,0
0,coronavirus origin,possible,coronavirus origin possible,0.021604938271604937,0.09259259259259259,1
0,coronavirus origin,like,coronavirus origin like,0.021604938271604937,0.10185185185185185,1
0,coronavirus origin,molecular,coronavirus origin molecular,0.021604938271604937,0.1728395061728395,1
0,coronavirus origin,genus,coronavirus origin genus,0.021604938271604937,0.030864197530864196,1
0,coronavirus origin,japanese,coronavirus origin japanese,0.021604938271604937,0.006172839506172839,0
0,coronavirus origin,unclear,coronavirus origin unclear,0.021604938271604937,0.018518518518518517,0
0,coronavirus origin,comparative,coronavirus origin comparative,0.021604938271604937,0.024691358024691357,1
0,coronavirus origin,black,coronavirus origin black,0.021604938271604937,0.0,0
0,coronavirus origin,bat,coronavirus origin bat,0.021604938271604937,0.20987654320987653,1
0,coronavirus origin,exact,coronavirus origin exact,0.021604938271604937,0.012345679012345678,0
0,coronavirus origin,live,coronavirus origin live,0.021604938271604937,0.012345679012345678,0
0,coronavirus origin,lethal,coronavirus origin lethal,0.021604938271604937,0.0030864197530864196,0
0,coronavirus origin,ecological,coronavirus origin ecological,0.021604938271604937,0.012345679012345678,0
0,coronavirus origin,cumulative,coronavirus origin cumulative,0.021604938271604937,0.0030864197530864196,0
0,coronavirus origin,hispanic,coronavirus origin hispanic,0.021604938271604937,0.0,0
0,coronavirus origin,malaria,coronavirus origin malaria,0.021604938271604937,0.0,0
0,coronavirus origin,similar,coronavirus origin similar,0.021604938271604937,0.05555555555555555,1
0,coronavirus origin,complete,coronavirus origin complete,0.021604938271604937,0.033950617283950615,1
0,coronavirus origin,past,coronavirus origin past,0.021604938271604937,0.024691358024691357,1
0,coronavirus origin,clear,coronavirus origin clear,0.021604938271604937,0.006172839506172839,0
0,coronavirus origin,extreme,coronavirus origin extreme,0.021604938271604937,0.0030864197530864196,0
0,coronavirus origin,medicinal,coronavirus origin medicinal,0.021604938271604937,0.0,0
0,coronavirus origin,sequence,coronavirus origin sequence,0.021604938271604937,0.18209876543209877,1
0,coronavirus origin,brazilian,coronavirus origin brazilian,0.021604938271604937,0.0,0
0,coronavirus origin,acquired,coronavirus origin acquired,0.021604938271604937,0.018518518518518517,0
0,coronavirus origin,historical,coronavirus origin historical,0.021604938271604937,0.006172839506172839,0
0,coronavirus origin,good,coronavirus origin good,0.021604938271604937,0.0,0
0,coronavirus origin,corona,coronavirus origin corona,0.021604938271604937,0.018518518518518517,0
0,coronavirus origin,artificial,coronavirus origin artificial,0.021604938271604937,0.0030864197530864196,0
0,coronavirus origin,paramount,coronavirus origin paramount,0.021604938271604937,0.0,0
0,coronavirus origin,respiratory,coronavirus origin respiratory,0.021604938271604937,0.29012345679012347,1
0,coronavirus origin,high,coronavirus origin high,0.021604938271604937,0.07098765432098765,1
0,coronavirus origin,oral,coronavirus origin oral,0.021604938271604937,0.0030864197530864196,0
0,coronavirus origin,wild,coronavirus origin wild,0.021604938271604937,0.043209876543209874,1
0,coronavirus origin,basic,coronavirus origin basic,0.021604938271604937,0.024691358024691357,1
0,coronavirus origin,hiv,coronavirus origin hiv,0.021604938271604937,0.0030864197530864196,0
0,coronavirus origin,patient,coronavirus origin patient,0.021604938271604937,0.08024691358024691,1
0,coronavirus origin,sudden,coronavirus origin sudden,0.021604938271604937,0.006172839506172839,0
0,coronavirus origin,genome,coronavirus origin genome,0.021604938271604937,0.19753086419753085,1
0,coronavirus origin,infected,coronavirus origin infected,0.021604938271604937,0.05555555555555555,1
0,coronavirus origin,devastating,coronavirus origin devastating,0.021604938271604937,0.006172839506172839,0
0,coronavirus origin,adverse,coronavirus origin adverse,0.021604938271604937,0.0030864197530864196,0
0,coronavirus origin,main,coronavirus origin main,0.021604938271604937,0.012345679012345678,0
0,coronavirus origin,therapeutic,coronavirus origin therapeutic,0.021604938271604937,0.05555555555555555,1
0,coronavirus origin,public,coronavirus origin public,0.021604938271604937,0.12037037037037036,1
0,coronavirus origin,true,coronavirus origin true,0.021604938271604937,0.006172839506172839,0
0,coronavirus origin,rna,coronavirus origin rna,0.021604938271604937,0.07098765432098765,1
0,coronavirus origin,proven,coronavirus origin proven,0.021604938271604937,0.009259259259259259,0
0,coronavirus origin,differential,coronavirus origin differential,0.021604938271604937,0.0030864197530864196,0
0,coronavirus origin,italian,coronavirus origin italian,0.021604938271604937,0.0,0
0,coronavirus origin,birth,coronavirus origin birth,0.021604938271604937,0.0,0
0,coronavirus origin,regional,coronavirus origin regional,0.021604938271604937,0.012345679012345678,0
0,coronavirus origin,initial,coronavirus origin initial,0.021604938271604937,0.024691358024691357,1
0,coronavirus origin,multiple,coronavirus origin multiple,0.021604938271604937,0.043209876543209874,1
0,coronavirus origin,confirmed,coronavirus origin confirmed,0.021604938271604937,0.07716049382716049,1
0,coronavirus origin,reverse,coronavirus origin reverse,0.021604938271604937,0.021604938271604937,0
0,coronavirus origin,premature,coronavirus origin premature,0.021604938271604937,0.0,0
0,coronavirus origin,people,coronavirus origin people,0.021604938271604937,0.04938271604938271,1
